,0,1,2
0,Ostersunds,AFC Eskilstuna,"[[[3, 0, 3, 3, 0, 1, 1, 0], 12], [[2, 0, 2, 2, 0, 1, 0, 0], 12]]"
1,Falkenbergs,Helsingborg,"[[[1, 1, 2, 0, 1, 1, 0, 0], 11]]"
2,Karlsruhe,Dresden,"[[[0, 0, 0, 0, 0, 0, 0, 0], 12], [[1, 1, 2, 0, 1, 1, 0, 0], 12]]"
3,Barnsley,Fulham,"[[[1.0, 3.0, 4.0, -2.0, 1.0, 1.0, 1.0, 1.0], 13], [[1.0, 2.0, 3.0, -1.0, 1.0, 1.0, 1.0, 0.0], 14], [[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 11], [[2.0, 2.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0], 16], [[2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0], 19], [[3.0, 2.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0], 12], [[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0], 12], [[0.0, 2.0, 2.0, -2.0, 0.0, 1.0, 0.0, 0.0], 12]]"
4,Blackburn,Charlton,"[[[3.0, 0.0, 3.0, 3.0, 0.0, 1.0, 1.0, 0.0], 12], [[2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0], 16], [[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0], 18], [[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 21], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 11]]"
5,Brentford,Birmingham,"[[[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 37], [[0.0, 2.0, 2.0, -2.0, 0.0, 1.0, 0.0, 0.0], 11], [[1.0, 2.0, 3.0, -1.0, 1.0, 1.0, 1.0, 0.0], 16], [[2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0], 19], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 18], [[2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0], 15], [[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0], 19], [[3.0, 1.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0], 13]]"
6,Millwall,Preston,"[[[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 13], [[2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0], 13]]"
7,Reading,Sheffield Weds,"[[[2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0], 24], [[2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0], 13], [[1.0, 2.0, 3.0, -1.0, 1.0, 1.0, 1.0, 0.0], 18], [[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 27], [[0.0, 2.0, 2.0, -2.0, 0.0, 1.0, 0.0, 0.0], 16], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 18], [[0.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0], 11]]"
8,Stoke,QPR,"[[[3.0, 0.0, 3.0, 3.0, 0.0, 1.0, 1.0, 0.0], 15], [[2.0, 2.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0], 13]]"
9,Swansea,Hull,"[[[2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0], 22]]"
10,Wigan,Cardiff,"[[[0.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0], 20], [[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0], 20], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 17], [[1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0], 13]]"
11,Standard,Waregem,"[[[4, 1, 5, 3, 1, 1, 1, 1], 16], [[2, 1, 3, 1, 1, 1, 1, 0], 16]]"
12,Kortrijk,Charleroi,"[[[2, 0, 2, 2, 0, 1, 0, 0], 18], [[2, 1, 3, 1, 1, 1, 1, 0], 15]]"
13,Oostende,Cercle Brugge,[]
14,Mechelen,Genk,"[[[1, 0, 1, 1, 0, 0, 0, 0], 11], [[1, 1, 2, 0, 1, 1, 0, 0], 12], [[3, 1, 4, 2, 1, 1, 1, 1], 11], [[0, 2, 2, -2, 0, 1, 0, 0], 12]]"
15,FC Emmen,Groningen,[]
16,Vitesse,Ajax,[]
17,Twente,PSV Eindhoven,"[[[1, 3, 4, -2, 1, 1, 1, 1], 18], [[0, 2, 2, -2, 0, 1, 0, 0], 11], [[1, 1, 2, 0, 1, 1, 0, 0], 14]]"
18,VVV Venlo,Waalwijk,"[[[1, 1, 2, 0, 1, 1, 0, 0], 14]]"
